Time (s),power (dB),amplitude (real),amplitude (imag)
-3.96993410214168e-05,-58.401249918151734,-3.6705790003751322e-09,7.407042253042478e-11
-3.967933631442692e-05,-57.61570211421258,4.015782590537645e-09,1.5665117210969428e-10
-3.965933160743704e-05,-56.79385883621552,-4.416953699791146e-09,-7.913440065956551e-11
-3.963932690044716e-05,-56.33737240567882,4.649800386668171e-09,-2.4099870212760226e-10
-3.961932219345728e-05,-56.33909952688805,-4.613852393220186e-09,6.184420171172502e-10
-3.95993174864674e-05,-56.74942343919389,4.354219630745247e-09,-8.70181862792975e-10
-3.957931277947752e-05,-57.426802522998855,-4.008901329047051e-09,8.931759129449526e-10
-3.955930807248764e-05,-58.08636670844834,3.743610883516851e-09,-6.910690708601464e-10
-3.9539303365497764e-05,-58.32129015164435,-3.686431362788116e-09,3.732556878640466e-10
-3.951929865850788e-05,-57.96371996568206,3.8593179734815214e-09,-1.1385831166052309e-10
-3.9499293951518e-05,-57.33707713011222,-4.149482681433401e-09,5.46523084932546e-11
-3.947928924452812e-05,-56.86655356651997,4.376060628806156e-09,-2.0466696262303297e-10
-3.945928453753824e-05,-56.73959079231457,-4.424045705596766e-09,4.346886956190358e-10
-3.943927983054836e-05,-56.895322997844914,4.326087777561363e-09,-5.916465577126135e-10
-3.941927512355848e-05,-57.123810553226946,-4.206442035433644e-09,6.275495427680233e-10
-3.93992704165686e-05,-57.25146914148425,4.14606186669098e-09,-6.117154950232892e-10
-3.937926570957872e-05,-57.31026991034528,-4.115937340763891e-09,6.219978510176492e-10
-3.935926100258884e-05,-57.45069732243812,4.0446414296200885e-09,-6.460421318362795e-10
-3.933925629559896e-05,-57.70886767514929,-3.929773922253365e-09,6.042691974082985e-10
-3.9319251588609084e-05,-57.9066743841189,3.859314461162935e-09,-4.5835934968826836e-10
-3.9299246881619204e-05,-57.8035750104259,-3.923268802612659e-09,2.7427066230836296e-10
-3.927924217462932e-05,-57.390843892093244,4.120583179687443e-09,-1.7349127900900273e-10
-3.925923746763944e-05,-56.904315862704806,-4.355484018945206e-09,2.353787629175967e-10
-3.923923276064956e-05,-56.57783868242569,4.506704943788728e-09,-4.47909089854192e-10
-3.921922805365968e-05,-56.53737300743575,-4.491769267613306e-09,7.259660337441597e-10
-3.91992233466698e-05,-56.833737772630116,4.293682625500869e-09,-9.495522048976803e-10
