Time (s),power (dB),amplitude (real),amplitude (imag)
-4.091962814779948e-05,-57.16034109532737,3.2665128943809652e-09,1.1114513369467736e-10
-4.08996234408096e-05,-57.06565881056514,-3.3038727296503074e-09,-4.831723217128206e-11
-4.087961873381972e-05,-57.0735240477195,3.301188494441001e-09,-1.7585217649393187e-11
-4.085961402682984e-05,-57.16275192976087,-3.266874880185298e-09,6.371732548691846e-11
-4.083960931983996e-05,-57.28639110625252,3.2203875592644344e-09,-7.727401756177976e-11
-4.081960461285008e-05,-57.38584342255032,-3.1840822641194994e-09,5.966582676338169e-11
-4.07995999058602e-05,-57.41368211672966,3.174351066308443e-09,-2.514540084431354e-11
-4.077959519887032e-05,-57.35659719754574,-3.1953777286067005e-09,-5.413081390910333e-12
-4.0759590491880436e-05,-57.24202265438953,3.2377849678678303e-09,1.3094700667714975e-11
-4.0739585784890556e-05,-57.12274454849222,-3.282561200571747e-09,1.1418719681366193e-11
-4.071958107790068e-05,-57.052356088089,3.3086709722258705e-09,-6.402736635161871e-11
-4.06995763709108e-05,-57.06648248629776,-3.3014092394479587e-09,1.2859286921453983e-10
-4.067957166392092e-05,-57.173463228032944,3.258338083163106e-09,-1.8293307847502872e-10
-4.065956695693104e-05,-57.351337466673016,-3.19060117520653e-09,2.071367597755226e-10
-4.063956224994116e-05,-57.55001977353089,3.1191648082280397e-09,-1.9107929923041588e-10
-4.061955754295128e-05,-57.70276749178578,-3.0674176436871534e-09,1.3836720480109899e-10
-4.05995528359614e-05,-57.75088271206599,3.052876423727001e-09,-6.530010691393532e-11
-4.057954812897152e-05,-57.67314929627156,-3.0810213953831384e-09,-4.712172361135894e-12
-4.055954342198164e-05,-57.49786399851723,3.1434482049426595e-09,4.919517421537931e-11
-4.053953871499176e-05,-57.286253648177166,-3.2209096378173796e-09,-5.4192739085031795e-11
-4.0519534008001876e-05,-57.102880453950775,3.290043532537487e-09,1.8706443416890293e-11
-4.0499529301012e-05,-56.99397837526797,-3.331296575557535e-09,4.5480143241755605e-11
-4.047952459402212e-05,-56.979122058587706,3.335210658195595e-09,-1.1836239275785102e-10
-4.045951988703224e-05,-57.05110219766539,-3.3049311268944794e-09,1.7887338136405057e-10
-4.043951518004236e-05,-57.179684958719974,3.2542342277770214e-09,-2.1200117860323399e-10
-4.041951047305248e-05,-57.319380960215625,-3.2020022528022933e-09,2.1336073356890567e-10
-4.03995057660626e-05,-57.423181504823134,3.165298505143066e-09,-1.897487103916486e-10
-4.037950105907272e-05,-57.4603901520901,-3.1535834932970354e-09,1.5572419580365666e-10
-4.035949635208284e-05,-57.429597535932345,3.166065782164233e-09,-1.276821935976269e-10
-4.033949164509296e-05,-57.357339771482316,-3.1929402734503156e-09,1.1770668204357656e-10
-4.031948693810308e-05,-57.283409702766676,3.219819757806413e-09,-1.2943774878967334e-10
-4.02994822311132e-05,-57.243192947213174,-3.2335501283296293e-09,1.5732752703608422e-10
-4.027947752412332e-05,-57.25559981355272,3.2272042234412988e-09,-1.8934935303068267e-10
-4.0259472817133436e-05,-57.31834695559735,-3.202477724414551e-09,2.1196665141691483e-10
-4.023946811014356e-05,-57.40924489304149,3.1687589324841062e-09,-2.1541812663942101e-10
-4.021946340315368e-05,-57.49300658039155,-3.139393239616822e-09,1.9737674731170516e-10
-4.01994586961638e-05,-57.533586560675275,3.1266452342055204e-09,-1.637445771989389e-10
-4.017945398917392e-05,-57.50905805624842,-3.1372367010184603e-09,1.2645156295904072e-10
-4.015944928218404e-05,-57.42158325670198,3.1700124120989994e-09,-9.920471055473041e-11
-4.013944457519416e-05,-57.295967716897366,-3.216426508107985e-09,9.279571121580494e-11
